,Ticket_ID,Total,Subtotal,Tax,Tips,Opened At,Closed At,Order Type,Item Name,Category Name
13,147595,83.84,76.0,7.84,16.0,1593301158,1593308444.0,Dine In,"Open Wine, HH Andouille Chz, Taste of Fred's, Pork Loin, Sd Mac N Cheez","Food, Sides, Side, Bar Menu, Happy Hour, Food, Smokehouse, Food, Open Wine, Wine, Open Items"
14,147585,66.85,60.5,6.35,10.15,1593299532,1593308420.0,Dine In,"Kid Spaghetti, Kid Chicken, 9oz Sirloin, Cream Spinach, Chix Pasta, 50th Cheesecake","Dessert, Desssert, Food, Food, Sides, Side, Pasta, Food, Kids, Food, Smokehouse, Food"
15,147606,145.87,112.0,11.47,0.0,1593304558,1593308405.0,Dine In,"+HH Corona Premi, +HH Corona Premi, Open Wine, +HH Love Honey, HH Andouille Chz, HH Spin Dip, Taste of Fred's, Taste of Fred's, Beans, $4 Salad","Bar Menu, Happy Hour, Food, Draft Beer, Happy Hour, Beer, Open Wine, Wine, Open Items, Happy Hour, Beer, Domestic Bottle, Food, Sides, Side, Smokehouse, Food"
16,147609,60.03,46.0,4.83,0.0,1593304558,1593308395.0,Dine In,"Kid Chicken, Parm Spag, Kid Spaghetti, Pork Loin, $4 Salad","Pasta, Food, Kids, Food, Smokehouse, Food, Food, Sides, Side"
17,147598,72.22,63.0,9.22,12.0,1593302098,1593308380.0,Dine In,"16oz Sirloin, Cream Spinach, Old Fashioned, Ozk Vod Mule, $4 Salad","Liquor , Cktls N-Z, Liquor, Food, Sides, Side, Smokehouse, Food"
18,147594,44.12,40.0,4.12,8.0,1593301028,1593308360.0,Dine In,"**HH Chard, +HH Ozk APA, Lasagna, Half Rack App","Glass Wine, Wine, Happy Hour, Pasta, Food, Apps, Food, Draft Beer, Happy Hour, Beer"
19,147607,49.59,38.0,3.99,0.0,1593304572,1593308337.0,Dine In,"Kid Mac/Chz, Gr Chix, Chix Pasta","Pasta, Food, Kids, Food, Grill, Food"
20,147583,79.2,71.75,7.45,20.0,1593299395,1593308297.0,Dine In,"**HH Cab, +HH Homewrecker, Chix Pasta, 1/2 Rack Entree, Ground Stk, Dr. Pepper, $4 Salad","Grill, Food, Draft Beer, Happy Hour, Beer, Glass Wine, Wine, Happy Hour, Beverages, Non-alcoholic Beverage, Food, Food, Sides, Side, Pasta, Food, Smokehouse, Food"
21,147605,64.09,58.0,6.09,0.0,1593304248,1593307535.0,TakeOut ,"Taste of Fred's, Taste of Fred's, Waitr $0.50, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr $0.50","Apps, Food, Smokehouse, Food"
22,147600,0.0,0.0,0.0,0.0,1593299623,1593307100.0,Dine In,None,None
23,147615,9.95,9.0,0.95,0.0,1593306064,1593306825.0,TakeOut ,Chix Pasta,"Pasta, Food"
24,147614,19.89,18.0,1.89,0.0,1593305369,1593306049.0,TakeOut ,"Lasagna, BiteSquad, BiteSquad, BiteSquad","Pasta, Food, Apps, Food"
25,147599,39.78,36.0,3.78,0.0,1593302208,1593306020.0,TakeOut ,"Pint Of Dressing, Cheesecake, Steak Salad, Waitr $0.50, Waitr, Waitr, Waitr, Waitr $0.50, Waitr, Waitr","Apps, Food, Brunch Items, À la Carte, Food, Dessert, Desssert, Food, Salads/Soup, Salad, Food"
26,147611,48.62,44.0,4.62,0.0,1593305207,1593305901.0,TakeOut ,"Full Rack Entree, Cheesecake, Lunch (2) Mtball","Apps, Food, Smokehouse, Food, Dessert, Desssert, Food"
27,147610,81.77,74.0,7.77,2.23,1593304919,1593305844.0,TakeOut ,"16oz Sirloin, 16oz Sirloin, Kid Spaghetti","Kids, Food, Smokehouse, Food"
28,147569,93.29,84.5,8.79,18.71,1593296084,1593305339.0,Dine In,"**HH Cab, Coke, HH Spin Dip, $4 Salad, 9oz Sirloin, Lou's Spaghetti, Lou's Spaghetti, Lemonade, **HH Cab","Bar Menu, Happy Hour, Food, Glass Wine, Wine, Happy Hour, Beverages, Non-alcoholic Beverage, Food, Food, Sides, Side, Pasta, Food, Smokehouse, Food"
29,147584,0.0,0.0,0.0,0.0,1593296971,1593305305.0,Dine In,None,None
30,147572,57.28,52.0,5.28,10.0,1593296971,1593305291.0,Dine In,"D- Mich Ultra, D- Mich Ultra, Sampler, Chix Pasta, D- Mich Ultra","Pasta, Food, Apps, Food, Draft Beer, Beer, Beer "
31,147575,128.46,116.25,12.21,25.0,1593297386,1593305280.0,Dine In,"Salmon Dinner, Lasagna, Parm Spag, Lou's Spaghetti, Iced Tea, Iced Tea, Sweet Tea, Parm Spag, Cobbler A, 50th Cheesecake, Coffee, Coffee","Pasta, Food, Seafood, Food, Beverages, Non-alcoholic Beverage, Food, Dessert, Desssert, Food"
32,147591,72.51,65.75,6.76,14.49,1593300089,1593305256.0,Dine In,"Coke Zero, D- Homewrecker, Ribeye Spec, 1/2 Rack Entree, D- Homewrecker","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Smokehouse, Food, Draft Beer, Beer, Beer "
33,147603,46.41,42.0,4.41,10.59,1593302929,1593305149.0,TakeOut ,"Full Rack Entree, Cheesecake, Cheesecake","Smokehouse, Food, Dessert, Desssert, Food"
