Ticket_ID,Total,Subtotal,Tax,Tips,Opened At,Closed At,Order Type,Item Name,Category Name
147605,64.09,58,6.09,0,1593304248,1593307535,TakeOut ,"Taste of Fred's, Taste of Fred's, Waitr $0.50, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr, Waitr $0.50","Food, Smokehouse, Apps, Food"
147600,0,0,0,0,1593299623,1593307100,Dine In,None,None
147615,9.95,9,0.95,0,1593306064,1593306825,TakeOut ,Chix Pasta,"Pasta, Food"
147614,19.89,18,1.89,0,1593305369,1593306049,TakeOut ,"Lasagna, BiteSquad, BiteSquad, BiteSquad","Pasta, Food, Apps, Food"
147599,39.78,36,3.78,0,1593302208,1593306020,TakeOut ,"Pint Of Dressing, Cheesecake, Steak Salad, Waitr $0.50, Waitr, Waitr, Waitr, Waitr $0.50, Waitr, Waitr","Ã€ la Carte, Food, Brunch Items, Food, Desssert, Dessert, Salads/Soup, Salad, Food, Apps, Food"
147611,48.62,44,4.62,0,1593305207,1593305901,TakeOut ,"Full Rack Entree, Cheesecake, Lunch (2) Mtball","Food, Smokehouse, Food, Desssert, Dessert, Apps, Food"
147610,81.77,74,7.77,2.23,1593304919,1593305844,TakeOut ,"16oz Sirloin, 16oz Sirloin, Kid Spaghetti","Food, Smokehouse, Kids, Food"
147569,93.29,84.5,8.79,18.71,1593296084,1593305339,Dine In,"**HH Cab, Coke, HH Spin Dip, $4 Salad, 9oz Sirloin, Lou's Spaghetti, Lou's Spaghetti, Lemonade, **HH Cab","Pasta, Food, Glass Wine, Wine, Happy Hour, Bar Menu, Happy Hour, Food, Beverages, Non-alcoholic Beverage, Food, Food, Smokehouse, Side, Sides, Food"
147584,0,0,0,0,1593296971,1593305305,Dine In,None,None
147572,57.28,52,5.28,10,1593296971,1593305291,Dine In,"D- Mich Ultra, D- Mich Ultra, Sampler, Chix Pasta, D- Mich Ultra","Draft Beer, Beer, Beer , Pasta, Food, Apps, Food"
147575,128.46,116.25,12.21,25,1593297386,1593305280,Dine In,"Salmon Dinner, Lasagna, Parm Spag, Lou's Spaghetti, Iced Tea, Iced Tea, Sweet Tea, Parm Spag, Cobbler A, 50th Cheesecake, Coffee, Coffee","Food, Desssert, Dessert, Beverages, Non-alcoholic Beverage, Food, Pasta, Food, Seafood, Food"
147591,72.51,65.75,6.76,14.49,1593300089,1593305256,Dine In,"Coke Zero, D- Homewrecker, Ribeye Spec, 1/2 Rack Entree, D- Homewrecker","Food, Smokehouse, Beverages, Non-alcoholic Beverage, Food, Draft Beer, Beer, Beer , Grill, Food"
147603,46.41,42,4.41,10.59,1593302929,1593305149,TakeOut ,"Full Rack Entree, Cheesecake, Cheesecake","Food, Smokehouse, Food, Desssert, Dessert"
147593,115.78,105,10.78,20,1593300896,1593304742,Dine In,"Zac Brown , Sampler, 16oz Sirloin, Ribeye Spec, CAB Sebastiani","Glass Wine, GL Red Wine, Wine, Food, Smokehouse, Grill, Food, Apps, Food"
147586,124.9,109.5,15.4,26,1593299623,1593304721,Dine In,"Ozk Vod Mule, 9oz Filet, $4 Salad, 16oz Sirloin, Ozk Vod Mule, Ozk Vod Mule, Coffee, Coffee","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Food, Smokehouse, Side, Sides, Food, Cktls N-Z, Liquor, Liquor "
147589,133.01,119.25,13.76,27,1593299969,1593304650,Dine In,"Titos, *PN Darkhorse, Spin Dip, Meatball (3) App, 6oz Filet, Lasagna, 6oz Filet, Dr. Pepper","Liquor, Vodka, Pasta, Food, Grill, Food, Beverages, Non-alcoholic Beverage, Food, Glass Wine, GL Red Wine, Wine, Apps, Food"
147608,0,0,0,0,1593304558,1593304646,Dine In,None,None
147577,54.86,48,6.86,10,1593297415,1593304011,Dine In,"Jack Daniels, Jack Daniels, KC Steak Spec, $ Baked Potato, $4 Salad","Side, Sides, Food, Grill, Food, Liquor, Whiskey"
147590,91.44,82.75,8.69,18,1593300005,1593302931,Dine In,"9oz Filet, Kid Mac/Chz, 9oz Filet, Iced Tea","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Kids, Food"
147602,0,0,0,0,1593302820,1593302913,Dine In,None,None
147597,89.78,81.25,8.53,18.22,1593297992,1593302909,Dine In,"Chez & And, Iced Tea, Water, 6oz Filet, Ribeye Spec, 50th Cheesecake","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Apps, Food, Food, Desssert, Dessert"
147580,79.56,72,7.56,16,1593297992,1593302891,Dine In,"Spin Dip, Sweet Tea, Iced Tea, Ribeye Spec, KC Steak Spec, 50th Cheesecake","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Apps, Food, Food, Desssert, Dessert"
147596,44.48,40.25,4.23,9,1593297992,1593302880,Dine In,"Spin Dip, Iced Tea, KC Steak Spec, 50th Cheesecake","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Apps, Food, Food, Desssert, Dessert"
147576,69.53,63,6.53,20,1593297395,1593300884,Dine In,"Bud Lt Btl, 16oz Sirloin, Lou's Spaghetti, Bud Lt Btl, 50th Cheesecake","Food, Smokehouse, Food, Desssert, Dessert, Draft Beer, Beer, Beer , Pasta, Food"
147579,67.13,60.75,6.38,13.5,1593297983,1593300776,Dine In,"Iced Tea, Water, KC Steak Spec, Mush Top, Ribeye Spec","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Ã€ la Carte, Side, Food"
147588,37.57,34,3.57,3,1593299771,1593300766,TakeOut ,"Sliced Sirloin, Sliced Sirloin","Grill, Smokehouse, Food"
147581,92.82,84,8.82,0,1593298062,1593300262,TakeOut ,"Taste of Fred's, Sd Mac N Cheez, Sampler, Sampler, $ Sweet Potato, Sliced Sirloin, Colelsaw","Food, Smokehouse, Side, Sides, Food, Apps, Food, Grill, Smokehouse, Food"
147582,58.01,52.5,5.51,0,1593298380,1593299688,TakeOut ,"Lasagna, Saut Spinach, Side Mush, 9oz Sirloin, BiteSquad $4, BiteSquad $4, BiteSquad, BiteSquad $.50","Food, Smokehouse, Side, Sides, Food, Pasta, Food, Apps, Food"
147560,145.2,132,13.2,28,1593292615,1593299458,Dine In,"-Tacos, 16oz Sirloin, Baked Potato, BTL PN MacMurray, Cobbler A, PN MacMurry, PN MacMurry","Food, Desssert, Dessert, Bar Menu, Apps, Food, Food, Smokehouse, Side, Sides, Food, Glass Wine, GL Red Wine, Wine, Bottled Wine, Wine, Btl Red Wine"
147564,76.8,69.5,7.3,20,1593295116,1593299444,Dine In,"Spin Dip, Iced Tea, Coke, 6oz Filet, Ground Stk, Onion Top","Beverages, Non-alcoholic Beverage, Food, Grill, Food, Apps, Food, Ã€ la Carte, Side, Food"
147578,63.54,57.5,6.04,0,1593297866,1593299052,TakeOut ,"Salmon Dinner, $4 Salad, 9oz Sirloin, $4 Salad, BiteSquad, BiteSquad $.50","Food, Smokehouse, Side, Sides, Food, Apps, Food, Seafood, Food"
147571,70.72,64,6.72,0,1593296449,1593297847,TakeOut ,"Full Rack Entree, Full Rack Entree, Cream Spinach, Cream Spinach","Food, Smokehouse, Side, Sides, Food"
