"Category,Item number,Barcode,Description,Proof,Bottle size (ml),Case quantity,Bottle price,Case price,TPR,Bailment Number"
"American Brandies,56193,021296620031,Paul Masson Peach Grande Amber Brandy,54,200,24.00,2.94,70.56,No,115"
"American Brandies,56805,021296620079,Paul Masson Red Berry Grande Amber,54,750,12.00,9.62,115.44,No,115"
"American Brandies,56798,021296620215,Paul Masson Pineapple Grande Amber Brandy,54,750,12.00,9.62,115.44,No,115"
"American Brandies,56792,021296620253,Paul Masson Apple Grande Amber Brandy,54,375,24.00,4.83,115.92,No,115"
"American Brandies,56793,021296620277,Paul Masson Apple Grande Amber Brandy,54,750,12.00,9.62,115.44,No,115"
"American Brandies,53211,021296620413,Paul Masson Grande Amber Brandy VS Mini,80,50,10.00,10.68,106.80,No,115"
"American Brandies,54706,080686315056,Dekuyper Blackberry Brandy,70,750,12.00,6.75,81.00,No,065"
"American Brandies,52806,084704000078,Korbel Brandy,80,750,12.00,9.99,119.88,No,085"
"American Brandies,52835,084704000290,Korbel Brandy PET,80,""1,750"",6.00,17.00,102.00,No,085"
"American Brandies,53692,084848112316,Lairds Straight Applejack 86,86,750,12.00,18.75,225.00,No,297"
"American Brandies,52591,085000003404,E & J VS Mini,80,50,10.00,8.31,83.10,No,205"
"American Brandies,52580,085000003794,E & J VSOP,80,200,24.00,3.75,90.00,No,205"
"American Brandies,52582,085000003817,E & J VSOP,80,750,12.00,10.86,130.32,No,205"
"American Brandies,52581,085000003831,E & J VSOP,80,375,24.00,5.63,135.12,No,205"
"American Brandies,52579,085000003862,E & J VSOP Mini,80,50,10.00,11.60,116.00,No,205"
"American Brandies,52596,085000004135,E & J VS,80,750,12.00,9.75,117.00,No,205"
"American Brandies,52598,085000004159,E & J VS,80,""1,750"",6.00,19.50,117.00,No,205"
"American Brandies,52597,085000004180,E & J VS Square,80,""1,000"",12.00,10.86,130.32,No,205"
"American Brandies,52593,085000004210,E & J VS,80,200,24.00,3.00,72.00,No,205"
"American Brandies,52594,085000004265,E & J VS,80,375,24.00,5.25,126.00,No,205"
"American Brandies,52599,085000004296,E & J VS Round,80,""1,000"",12.00,10.86,130.32,No,205"
"American Brandies,52590,085000004470,E & J VS,80,100,48.00,1.86,89.28,No,205"
"American Brandies,52563,085000009154,E & J XO,80,750,12.00,12.36,148.32,No,205"
"American Brandies,52562,085000009208,E & J XO,80,375,24.00,6.75,162.00,No,205"
"American Brandies,52595,085000011126,E & J VS PET,80,750,12.00,9.75,117.00,No,205"
"American Brandies,73754,085000024034,E & J Apple,60,375,24.00,5.25,126.00,No,205"
"American Brandies,73755,085000024041,E & J Apple,60,750,12.00,9.75,117.00,No,205"
"American Brandies,73762,085000024119,E & J Peach,60,750,12.00,9.75,117.00,No,205"
"American Brandies,73780,085000025758,E & J Vanilla,60,750,12.00,9.75,117.00,No,205"
"American Brandies,52146,086036707045,Christian Bros Brandy PET,80,750,12.00,9.00,108.00,No,259"
"American Brandies,52199,086036710946,Paul Masson Grande Amber Brandy VS,80,100,48.00,1.50,72.00,No,115"
"American Brandies,52318,086036815474,Christian Bros Brandy,80,""1,750"",6.00,17.99,107.94,No,259"
"American Brandies,52317,086036815559,Christian Bros Brandy Square,80,""1,000"",12.00,10.70,128.40,No,259"
"American Brandies,52316,086036815597,Christian Bros Brandy,80,750,12.00,9.00,108.00,No,259"
"American Brandies,52314,086036815672,Christian Bros Brandy,80,375,24.00,4.88,117.12,No,259"
"American Brandies,52312,086036815702,Christian Bros Brandy,80,200,24.00,2.99,71.76,No,259"
"American Brandies,52319,086036825558,Christian Bros Brandy Round,80,""1,000"",12.00,10.70,128.40,No,259"
"American Brandies,54448,086816108321,Paramount Apricot Brandy,75,""1,750"",6.00,16.94,101.64,No,434"
"American Brandies,54447,086816108338,Paramount Apricot Brandy,75,""1,000"",12.00,9.80,117.60,No,434"
"American Brandies,54446,086816108345,Paramount Apricot Brandy,75,750,12.00,8.22,98.64,No,434"
"American Brandies,54444,086816108390,Paramount Apricot Brandy,75,375,24.00,5.33,127.92,No,434"
"American Brandies,55088,086816108727,Paramount Blackberry Brandy,75,""1,750"",6.00,16.94,101.64,No,434"
"American Brandies,55087,086816108734,Paramount Blackberry Brandy,75,""1,000"",12.00,9.80,117.60,No,434"
"American Brandies,55086,086816108741,Paramount Blackberry Brandy,75,750,12.00,8.25,99.00,No,434"
"American Brandies,55084,086816108796,Paramount Blackberry Brandy,75,375,24.00,5.33,127.92,No,434"
