Post Type,Month,Year,Wholesaler,Bev. Type,Product Code,Combo/Reg,Brand Reg,TTB ID,Brand Name,Product,Agent/Owner,Source of Info,Distributor-Wholesaler Serial #,Size,Unit,# of Bottles,Bottles per Sleeve,Age/Vintage,Alc %,Proof,Price per Bottle,Price per Case,NYC bottle,NYC case,Full Case Purchase,Split Case Charge,FOB,NYS Supplier's Serial #,NYS Suppliers Product Code,Column 31,Column 32,Limited Avail.,Allocation,Allocation Description,NYS Product,Column 37,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,Discount Quantity,Discount Unit,Discount Amount,Discount Type,,,,,
WW,5,2018,2188817,TW,APW-CFPING750-15,R,P,17175001000010,Castelforte,Wine,A,,N,750,ml,12,,VV,B,B,4.91,49.20,,,N,,,,APW-CFPING750-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-CFPRO750-15,R,P,17175001000018,Castelforte,Wine,A,,N,750,ml,12,,VV,B,B,5.80,69.60,,,N,,,,APW-CFPRO750-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-DAVWHT750-16,R,P,17324001001039,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-DAVWHT750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-DEDSACR-15,R,P,16294001000225,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-DEDSACR-15,,,,,,,,20,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-GVAKH750-15,R,P,17270001000641,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,7.50,90.00,,,N,,,,APW-GVAKH750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-GVKHVAN750-14,R,P,17267001000100,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,11.00,132.00,,,N,,,,APW-GVKHVAN750-14,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-GVMUK750-15,R,P,17225001000217,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,8.00,126.00,,,N,,,,APW-GVMUK750-15,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-GVSAP750-16,R,P,17267001000102,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,7.00,84.00,,,N,,,,APW-GVSAP750-16,,,,,,,,40,C,6,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TW,APW-GVSIN750-15,R,P,17225001000216,Tbilvino,Wine,A,,N,750,ml,12,,VV,B,B,6.50,78.00,,,N,,,,APW-GVSIN750-15,,,,,,,,40,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
WW,5,2018,2188817,TR,APW-IVKHVANCH-15,R,P,17070001000095,KTW,Wine,A,,N,750,ml,12,,VV,B,B,13.00,144.00,,,N,,,,APW-IVKHVANCH-15,,,,,,,,30,C,12,$,,,,,,,,,,,,,,,,,,,,,,,,,
