"""Item Code"",""ItemStatus"",""Description"",""Size"",""Age"",""Proof"",""Bottles Per Case"",""Unit Price"",""Effective Date"""
"""0943A"",,""BAILEYS ORIGINAL IRISH CREAM LIQUEUR"",""LITER"",,34,12,26.95,08/01/2020"
"""0943B"",,""BAILEYS ORIGINAL IRISH CREAM LIQUEUR"",""750 ML"",,34,12,29.95,08/01/2020"
"""0943E"",,""BAILEYS ORIGINAL IRISH CREAM LIQUEUR"",""375 ML"",,34,12,16.95,08/01/2020"
"""0943F"",,""BAILEYS ORIGINAL IRISH CREAM LIQUEUR"",""50 ML"",,34,80,3.50,08/01/2020"
"""0943H"",,""BAILEYS ORIGINAL IRISH CREAM LIQUEUR"",""1.75 L"",,34,6,56.95,08/01/2020"
"""0944B"",,""DEKUYPER CREME DE MENTHE WHITE"",""750 ML"",,60,12,10.95,08/01/2020"
"""0946B"",,""PUEBLO VIEJO BLANCO"",""750 ML"",,80,12,19.95,08/01/2020"
"""0946H"",,""PUEBLO VIEJO BLANCO"",""1.75 L"",,80,4,31.95,08/01/2020"
"""0950B"",,""TARANTULA AZUL"",""750 ML"",,70,12,19.95,08/01/2020"
"""0950H"",,""TARANTULA AZUL"",""1.75 L"",,70,6,43.45,08/01/2020"
"""0953B"",,""DEKUYPER CREME DE MENTHE GREEN"",""750 ML"",,60,12,10.95,08/01/2020"
"""0959B"",,""DI SARONNO AMARETTO"",""750 ML"",,56,12,27.95,08/01/2020"
"""0959E"",,""DI SARONNO AMARETTO"",""375 ML"",,56,12,14.95,08/01/2020"
"""0959F"",,""DI SARONNO AMARETTO"",""50 ML"",,56,120,4.00,08/01/2020"
"""0960B"",,""AMARETTO DI AMORE CLASSICO"",""750 ML"",,42,12,11.95,08/01/2020"
"""0962B"",,""POTTERS AMARETTO"",""750 ML"",,48,12,6.95,08/01/2020"
"""0966B"",,""CHATEAU MONET FRAMBOISE RASPBERRY LIQUER"",""750 ML"",,33,12,18.95,08/01/2020"
"""0967B"",,""BOLS BOHEMIAN RASPBERRY LIQUEUR"",""750 ML"",,34,12,10.95,08/01/2020"
"""0968B"",,""DEKUYPER RAZZMATAZZ RASP/LMNADE LIQUEUR"",""750 ML"",,33,12,10.95,08/01/2020"
"""0969B"",,""FRANGELICO"",""750 ML"",,40,12,31.95,08/01/2020"
"""0969E"",,""FRANGELICO"",""375 ML"",,40,12,17.95,08/01/2020"
"""0970B"",,""DEKUYPER CREME DE COCOA WHITE LIQUEUR"",""750 ML"",,54,12,10.95,08/01/2020"
"""0972B"",,""CAPT. MORGAN BLACK SPICED RUM"",""750 ML"",,95,12,19.95,08/01/2020"
"""0973B"",,""360 HUCKLEBERRY FLAVORED VODKA"",""750 ML"",,70,12,13.95,08/01/2020"
"""0977B"",,""OUZO 12"",""750 ML"",,80,12,19.95,08/01/2020"
"""0979B"",,""DEKUYPER CREME COCOA DARK LIQUEUR"",""750 ML"",,54,12,10.95,08/01/2020"
"""0985B"",,""JACQUIN'S CREME DE CASSIS"",""750 ML"",,32,12,12.10,08/01/2020"
"""0987B"",,""COPA DE ORO MEXICAN"",""750 ML"",,53,12,11.95,08/01/2020"
"""0988B"",,""DUBOUCHETT CREME DE CASSIS"",""750 ML"",,35,12,9.95,08/01/2020"
"""0989B"",,""CLEAR CREEK KIRSCHWASSER"",""750 ML"",,80,6,44.95,08/01/2020"
"""0989E"",,""CLEAR CREEK KIRSCHWASSER"",""375 ML"",,80,12,27.95,08/01/2020"
"""0989F"",,""CLEAR CREEK KIRSCHWASSER"",""50 ML"",,80,120,5.00,08/01/2020"
"""0993B"",,""MONARCH CREME DE CACAO DARK"",""750 ML"",,48,12,8.95,08/01/2020"
"""0994B"",,""MONARCH AMARETTO"",""750 ML"",,48,12,9.95,08/01/2020"
"""0994H"",,""MONARCH AMARETTO"",""1.75 L"",,48,6,19.95,08/01/2020"
"""0995B"",,""MONARCH COFFEE LIQUEUR"",""750 ML"",,40,12,7.95,08/01/2020"
"""0995H"",,""MONARCH COFFEE LIQUEUR"",""1.75 L"",,40,6,17.95,08/01/2020"
"""0996B"",,""KAPALI DE CAFE COFFEE LIQUEUR"",""750 ML"",,40,12,7.95,08/01/2020"
"""1006B"",,""LADY BLIGH SPICED VI RUM"",""750 ML"",,73,12,8.95,08/01/2020"
"""1006H"",,""LADY BLIGH SPICED VI RUM"",""1.75 L"",,73,6,19.95,08/01/2020"
"""1018B"",,""DEKUYPER CREME DE BANANA"",""750 ML"",,56,12,10.95,08/01/2020"
"""1019B"",,""DEKUYPER BLUE"",""750 ML"",,54,12,10.95,08/01/2020"
"""1021B"",,""TEQUILA ROSE LIQUEUR"",""750 ML"",,34,12,21.95,08/01/2020"
"""1022B"",,""RYAN'S ORIGINAL CREME"",""750 ML"",,34,12,11.95,08/01/2020"
"""1022H"",""@"",""RYAN'S ORIGINAL CREME"",""1.75 L"",,34,6,22.95,08/01/2020"
"""1024B"",,""WOODFORD RESERVE DOUBLE OAK"",""750 ML"",,94,6,44.95,08/01/2020"
"""1025B"",,""EMMET'S IRISH CREAM"",""750 ML"",,34,12,12.95,08/01/2020"
"""1027B"",""@"",""BRECKENRIDGE BOURBON WHISKEY (COLORADO)"",""750 ML"",,86,6,46.95,08/01/2020"
"""1028B"",,""DUGGAN'S CREAM LIQUEUR"",""750 ML"",,34,12,11.95,08/01/2020"
"""1030B"",,""HOUSE SPIRITS VOLSTEAD VODKA"",""750 ML"",,80,6,19.95,08/01/2020"
"""1030H"",,""HOUSE SPIRITS VOLSTEAD VODKA"",""1.75 L"",,80,6,39.95,08/01/2020"
"""1033B"",,""LEGACY CANADIAN WHISKY"",""750 ML"",,80,6,19.95,08/01/2020"
"""1033F"",,""LEGACY CANADIAN WHISKY"",""50 ML"",,80,60,1.50,08/01/2020"
"""1033H"",,""LEGACY CANADIAN WHISKY"",""1.75 L"",,80,6,39.95,08/01/2020"
"""1035B"",,""HARLEQUIN ORANGE LIQUEUR"",""750 ML"",,80,6,21.95,08/01/2020"
"""1036B"",,""MR BOSTON'S ROCK & RYE"",""750 ML"",,54,12,11.45,08/01/2020"
"""1037B"",,""DEKUYPER ORANGE"",""750 ML"",,60,12,10.95,08/01/2020"
"""1038B"",,""ST. BRENDANS IRISH CREAM"",""750 ML"",,34,12,12.95,08/01/2020"
"""1038H"",,""ST. BRENDANS IRISH CREAM"",""1.75 L"",,34,6,30.95,08/01/2020"
"""1039B"",,""CAROLANS IRISH CREAM LIQUEUR"",""750 ML"",,34,12,13.95,08/01/2020"
"""1039H"",,""CAROLANS IRISH CREAM LIQUEUR"",""1.75 L"",,34,6,31.95,08/01/2020"
"""1040B"",,""MCGUIRE'S CREAM LIQUEUR"",""750 ML"",,34,12,11.95,08/01/2020"
"""1043B"",,""DEKUYPER HAZELNUT BLISS LIQUEUR"",""750 ML"",,56,12,10.95,08/01/2020"
"""1045B"",,""BOLS 42 PROOF TRIPLE SEC"",""750 ML"",,42,12,5.95,08/01/2020"
"""1047B"",,""1800 COCONUT TEQUILA"",""750 ML"",,70,12,30.95,08/01/2020"
"""1049B"",,""POTTERS TRIPLE SEC"",""750 ML"",,30,12,4.80,08/01/2020"
"""1050B"",,""ST. GEORGE SPIRITS TERROIR GIN"",""750 ML"",,90,6,34.95,08/01/2020"
"""1051B"",,""ST GEORGE BOTANIVORE GIN"",""750 ML"",,90,6,34.95,08/01/2020"
"""1053B"",,""99 WHIPPED CREAM SCHNAPPS"",""750 ML"",,99,12,13.95,08/01/2020"
"""1054B"",,""DEKUYPER TRIPLE SEC"",""750 ML"",,30,12,5.95,08/01/2020"
"""1054H"",,""DEKUYPER TRIPLE SEC"",""1.75 L"",,30,6,11.45,08/01/2020"
"""1055B"",,""DI AMORE QUATTRO ORANGE LIQUEUR"",""750 ML"",,80,12,13.95,08/01/2020"
"""1056B"",,""MONARCH TRIPLE SEC (WAS ROYALE)"",""750 ML"",,34,12,5.95,08/01/2020"
"""1056H"",,""MONARCH TRIPLE SEC (WAS ROYALE)"",""1.75 L"",,34,6,12.95,08/01/2020"
"""1061B"",,""GRAND MONARCH ORANGE & BRANDY"",""750 ML"",,80,12,18.95,08/01/2020"
"""1063B"",,""PARROT BAY COCONUT PET"",""750 ML"",,42,12,14.95,08/01/2020"
"""1063H"",,""PARROT BAY COCONUT PET"",""1.75 L"",,42,6,24.95,08/01/2020"
"""1064B"",,""MALIBU RUM NATURAL COCONUT*"",""750 ML"",,42,12,16.95,08/01/2020"
"""1064E"",,""MALIBU RUM NATURAL COCONUT*"",""375 ML"",,42,24,9.95,08/01/2020"
"""1064F"",,""MALIBU RUM NATURAL COCONUT*"",""50 ML"",,42,120,1.50,08/01/2020"
"""1064H"",,""MALIBU RUM NATURAL COCONUT*"",""1.75 L"",,42,6,27.95,08/01/2020"
"""1065B"",,""GREEN GEISHA WASABI VODKA"",""750 ML"",,80,12,19.95,08/01/2020"
"""1072B"",,""ARROW WHITE"",""750 ML"",,60,12,10.95,08/01/2020"
"""1075B"",,""DR. MCGILLICUDDY'S VANILLA SCHNAPPS"",""750 ML"",,48,12,14.95,08/01/2020"
"""1078B"",,""EVAN WILLIAMS FIRE (PREVIOUSLY CINNAMON)"",""750 ML"",,70,12,12.95,08/01/2020"
"""1080B"",,""DEKUYPER ISLAND PUNCH SCHNAPPS"",""750 ML"",,30,12,10.95,08/01/2020"
"""1081B"",,""BURNETT'S PEAR FLAVORED VODKA"",""750 ML"",,70,12,7.95,08/01/2020"
"""1086B"",,""DEKUYPER PEACHTREE SCHNAPPS"",""750 ML"",,30,12,10.95,08/01/2020"
"""1090B"",,""WAHAKA REPOSADO MEZCAL"",""750 ML"",,80,6,49.50,08/01/2020"
"""1092B"",,""DEKUYPER BLUSTERY PEPPERMINT SCHNAPPS"",""750 ML"",,60,12,10.95,08/01/2020"
"""1093B"",,""SCHRANK'S PEPPERMINT SCHNAPPS"",""750 ML"",,60,12,7.95,08/01/2020"
"""1093E"",,""SCHRANK'S PEPPERMINT SCHNAPPS"",""375 ML"",,60,24,4.95,08/01/2020"
"""1093H"",,""SCHRANK'S PEPPERMINT SCHNAPPS"",""1.75 L"",,60,6,12.85,08/01/2020"
"""1094B"",,""ARROW PEPPERMINT SCHNAPPS"",""750 ML"",,54,12,6.95,08/01/2020"
"""1095B"",,""DEKUYPER 100 PROOF BLUSTERY PEPPRMNT SCH"",""750 ML"",,100,12,14.95,08/01/2020"
"""1096B"",,""MONARCH PEPPERMINT SCHNAPPS (WAS ROYALE)"",""750 ML"",,48,12,7.95,08/01/2020"
"""1096H"",,""MONARCH PEPPERMINT SCHNAPPS (WAS ROYALE)"",""1.75 L"",,48,6,12.75,08/01/2020"
"""1098B"",,""H R D PEACH SCHNAPPS"",""750 ML"",,42,12,9.95,08/01/2020"
"""1098H"",,""H R D PEACH SCHNAPPS"",""1.75 L"",,42,6,18.95,08/01/2020"
"""1100B"",,""POTTERS PEACH"",""750 ML"",,30,12,5.95,08/01/2020"
"""1103B"",""@"",""HENRY DU YORE'S BOURBON WHISKEY (OREGON)"",""750 ML"",,91,12,35.15,08/01/2020"
"""1105B"",,""H R D ROOT BEER SCHNAPPS"",""750 ML"",,42,12,12.95,08/01/2020"
"""1106E"",,""PENDLETON"",""375 ML"",,80,24,12.95,08/01/2020"
"""1107B"",,""GREY GOOSE CHERRY NOIR"",""750 ML"",,80,6,35.95,08/01/2020"
"""1111B"",,""DEKUYPER BUTTERSHOTS BUTTERSCOTCH SCHNPS"",""750 ML"",,30,12,10.95,08/01/2020"
"""1112B"",,""MONARCH HAZELNUT"",""750 ML"",,48,12,9.95,08/01/2020"
"""1115B"",,""HIRAM WALKER BUTTERSCOTCH"",""750 ML"",,30,12,9.95,08/01/2020"
"""1116B"",""@"",""GIBSON FINEST GOLD 12YR CANADIAN WHISKEY"",""750 ML"",""12 YRS"",80,12,28.95,08/01/2020"
"""1120B"",,""ICE 101 PROOF PEPPERMINT SCHNAPPS"",""750 ML"",,101,12,16.95,08/01/2020"
"""1126B"",,""PACIFIC RUM LIGHT"",""750 ML"",,80,12,24.95,08/01/2020"
"""1129B"",,""YUKON JACK PERMA FROST SCHNAPPS"",""750 ML"",,100,12,19.95,08/01/2020"
"""1130B"",,""PIERRE FERRAND DRY CURACAO"",""750 ML"",,80,6,39.95,08/01/2020"
"""1132B"",,""SKINNYGIRL BARE NAKED VODKA"",""750 ML"",,60,12,21.95,08/01/2020"
"""1141B"",,""THREE OLIVES LOOPY VODKA"",""750 ML"",,70,12,17.95,08/01/2020"
"""1143B"",,""BRUICHLADDICH BLACK ART"",""750 ML"",,99,6,419.95,08/01/2020"
"""1159B"",,""KNOB CREEK RYE"",""750 ML"",,100,6,34.95,08/01/2020"
"""1159H"",,""KNOB CREEK RYE"",""1.75 L"",,100,6,72.95,08/01/2020"
"""1161B"",,""REDBREAST 12Y CASK STRENGTH IRISH WHISKY"",""750 ML"",""12 YRS"",117,6,91.95,08/01/2020"
"""1162B"",""@"",""SUZE SAVEUR D'AUTREFOIS"",""750 ML"",,40,6,27.95,08/01/2020"
"""1169B"",,""DON Q ANEJO RUM"",""750 ML"",,80,12,19.95,08/01/2020"
"""1178H"",,""JOSE CUERVO AUTH. GRPFRT TANG MARGARITA"",""1.75 L"",,20,6,17.95,08/01/2020"
"""1186E"",,""GLENMORANGIE COLLECTION 4 PKS 100ML"",""375 ML"",,88,6,29.95,08/01/2020"
"""1187B"",,""360 RED RASPBERRY FLAVORED VODKA"",""750 ML"",,70,12,13.95,08/01/2020"
"""1200B"",,""DEKUYPER MELON DEW LIQUEUR"",""750 ML"",,46,12,10.95,08/01/2020"
"""1203B"",,""BIG BOTTOM ZIN CASK BOURBON"",""750 ML"",,91,12,44.95,08/01/2020"
"""1204B"",,""DEKUYPER HOT DAMN CINNAMON FLV 30 PROOF"",""750 ML"",,30,12,10.95,08/01/2020"
"""1207B"",,""GAETANO MENON"",""750 ML"",,42,12,10.95,08/01/2020"
"""1213B"",,""GOLDSCHLAGER CINNAMON SCHNAPPS IMPORTED"",""750 ML"",,87,12,24.95,08/01/2020"
"""1213E"",,""GOLDSCHLAGER CINNAMON SCHNAPPS IMPORTED"",""375 ML"",,87,24,12.95,08/01/2020"
"""1213F"",,""GOLDSCHLAGER CINNAMON SCHNAPPS IMPORTED"",""50 ML"",,87,120,1.50,08/01/2020"
"""1219B"",,""DEKUYPER WATERMELON PUCKER SCHNAPPS"",""750 ML"",,30,12,10.95,08/01/2020"
"""1221B"",,""BOMBAY SAPPHIRE EAST"",""750 ML"",,94,12,21.95,08/01/2020"
"""1227B"",,""JINRO SOJU"",""750 ML"",,48,12,11.10,08/01/2020"
"""1227E"",,""JINRO SOJU"",""375 ML"",,48,20,6.05,08/01/2020"
"""1227H"",,""JINRO SOJU"",""1.75 L"",,48,8,16.95,08/01/2020"
"""1237B"",,""PLANTATION GRANDE RESERVE 5YR BARBADOS"",""750 ML"",,80,6,31.95,08/01/2020"
"""1239B"",,""BLACK VELVET TOASTED CARAMEL"",""750 ML"",,80,12,11.95,08/01/2020"
"""1239H"",,""BLACK VELVET TOASTED CARAMEL"",""1.75 L"",,80,6,24.95,08/01/2020"
"""1241B"",,""SWEET BABY MOONSHINE"",""750 ML"",,95,12,25.95,08/01/2020"
"""1244B"",,""WARSHIP PLATINUM RUM 100 PROOF (OREGON)"",""750 ML"",,100,12,17.95,08/01/2020"
"""1245B"",,""WARSHIP SILVER RUM 80 PROOF (OREGON)"",""750 ML"",,80,12,29.95,08/01/2020"
"""1262B"",,""CANADIAN HUNTER PET CAMO"",""750 ML"",,80,12,9.95,08/01/2020"
"""1278B"",,""VINN VODKA"",""750 ML"",,80,12,24.95,08/01/2020"
"""1279B"",,""UNCLE VAL'S BOTANICAL GIN"",""750 ML"",,90,6,34.95,08/01/2020"
"""1291B"",,""J T S BROWN (100 PROOF)"",""750 ML"",,100,12,18.95,08/01/2020"
"""1297B"",,""STOLICHNAYA SALTED KARAMEL"",""750 ML"",,75,12,24.95,08/01/2020"
"""1298B"",,""VERACITY SPIRITS NATIVE GIN"",""750 ML"",,88,12,34.00,08/01/2020"
"""1298F"",,""VERACITY SPIRITS NATIVE GIN"",""50 ML"",,88,96,4.00,08/01/2020"
"""1299B"",,""HIGH WEST CAMPFIRE WHISKEY"",""750 ML"",,92,6,69.95,08/01/2020"
"""1301B"",""@"",""CONTROL RESERVA PISCO (CHILE)"",""750 ML"",,80,6,21.95,08/01/2020"
"""1307B"",,""PORTLAND POTATO VODKA"",""750 ML"",,80,12,15.95,08/01/2020"
"""1307E"",""@"",""PORTLAND POTATO VODKA"",""375 ML"",,80,24,7.95,08/01/2020"
"""1307F"",,""PORTLAND POTATO VODKA"",""50 ML"",,80,120,2.00,08/01/2020"
"""1307H"",,""PORTLAND POTATO VODKA"",""1.75 L"",,80,6,29.95,08/01/2020"
"""1313B"",,""BANKERS VIVACITY SPIRITS GIN"",""750 ML"",,88,12,34.00,08/01/2020"
"""1313F"",,""BANKERS VIVACITY SPIRITS GIN"",""50 ML"",,88,96,4.00,08/01/2020"
"""1316B"",,""WAHAKA JOVEN ESPADIN MEZCAL"",""750 ML"",,80,6,38.80,08/01/2020"
"""1322B"",,""SMIRNOFF KISSED CARAMEL"",""750 ML"",,60,12,13.95,08/01/2020"
"""1325B"",""@"",""CANNON BEACH DISTILLERY DORYMEN'S RUM"",""750 ML"",,80,12,24.95,08/01/2020"
"""1330B"",,""TEMPLETON RYE"",""750 ML"",,80,6,29.95,08/01/2020"
"""1330E"",,""TEMPLETON RYE"",""375 ML"",,80,12,16.95,08/01/2020"
"""1337B"",,""EXOTICO BLANCO TEQUILA"",""750 ML"",,80,12,18.95,08/01/2020"
"""1338B"",,""EXOTICO REPOSADO TEQUILA"",""750 ML"",,80,12,18.95,08/01/2020"
"""1347B"",,""JIM BEAM W/ MARINERS GLASS"",""750 ML"",,80,6,17.95,08/01/2020"
"""1359B"",,""BRUICHLADDICH ISLAY BARLEY"",""750 ML"",,100,6,69.95,08/01/2020"
"""1360B"",,""4 SPIRITS BOURBON WHISKEY (OREGON)"",""750 ML"",,80,12,28.95,08/01/2020"
"""1364B"",,""OLMECA ALTOS PLATA 100% DE AGAVE TEQUILA"",""750 ML"",,80,6,27.95,08/01/2020"
"""1364E"",,""OLMECA ALTOS PLATA 100% DE AGAVE TEQUILA"",""375 ML"",,80,24,14.95,08/01/2020"
"""1364H"",,""OLMECA ALTOS PLATA 100% DE AGAVE TEQUILA"",""1.75 L"",,80,6,44.95,08/01/2020"
"""1365B"",,""OLMECA ALTOS REPOSADO 100% DE AGAVE TEQ"",""750 ML"",,80,6,27.95,08/01/2020"
"""1365E"",,""OLMECA ALTOS REPOSADO 100% DE AGAVE TEQ"",""375 ML"",,80,24,14.95,08/01/2020"
"""1365H"",,""OLMECA ALTOS REPOSADO 100% DE AGAVE TEQ"",""1.75 L"",,80,6,44.95,08/01/2020"
"""1372B"",""@"",""FERNET VALLET LIQUEUR"",""750 ML"",,70,6,31.25,08/01/2020"
"""1380B"",""@"",""MR. BOSTON ENGLISH MARKET LD GIN"",""750 ML"",,80,12,6.95,08/01/2020"
"""1381B"",""@"",""MR BOSTON TRIPLE SEC"",""750 ML"",,30,12,4.40,08/01/2020"
"""1383B"",""@"",""MR. BOSTON LIGHT RUM"",""750 ML"",,80,12,6.95,08/01/2020"
"""1384B"",,""MR. BOSTON VODKA"",""750 ML"",,80,12,6.40,08/01/2020"
"""1395B"",,""PIERRE FERRAND ORIGINAL 1840 FORMULA"",""750 ML"",,80,6,36.85,08/01/2020"
"""1400B"",,""MONTEZUMA BLUE TEQUILA BLEND"",""750 ML"",,80,12,8.45,08/01/2020"
"""1400H"",,""MONTEZUMA BLUE TEQUILA BLEND"",""1.75 L"",,80,6,16.95,08/01/2020"
"""1401B"",,""BAJA TEQUILA LIQUEUR"",""750 ML"",,80,12,8.75,08/01/2020"
"""1401H"",,""BAJA TEQUILA LIQUEUR"",""1.75 L"",,80,6,17.45,08/01/2020"
"""1402B"",,""TORTILLA GOLD DSS"",""750 ML"",,80,12,8.95,08/01/2020"
"""1402H"",,""TORTILLA GOLD DSS"",""1.75 L"",,80,6,17.95,08/01/2020"
"""1404B"",,""BALVENIE 17 YR DOUBLEWOOD"",""750 ML"",""17 YRS"",86,6,169.95,08/01/2020"
"""1412B"",,""ARIA PORTLAND DRY GIN"",""750 ML"",,90,12,23.95,08/01/2020"
"""1416B"",,""E.H. TAYLOR JR BARREL PROOF"",""750 ML"",,135,6,73.40,08/01/2020"
"""1417B"",,""HUE HUE COFFEE FLAVORED RUM"",""750 ML"",,70,12,22.95,08/01/2020"
"""1418B"",,""E.H. TAYLOR STRAIGHT RYE WHISKEY"",""750 ML"",,100,6,73.40,08/01/2020"
"""1419B"",""@"",""CANNON BEACH DONLON SHANKS RUM"",""750 ML"",,80,12,44.95,08/01/2020"
"""1425B"",,""CAZADORES EXTRA ANEJO GOLD TEQUILA"",""750 ML"",,80,6,59.95,08/01/2020"
"""1428B"",,""ION VODKA"",""750 ML"",,80,6,27.90,08/01/2020"
"""1444B"",""@"",""BULL RUN BARREL STRENGTH BRBN"",""750 ML"",,110,12,59.95,08/01/2020"
"""1444E"",""@"",""BULL RUN BARREL STRENGTH BRBN"",""375 ML"",,110,12,34.95,08/01/2020"
"""1445B"",,""CHERRY BOMB WHISKEY"",""750 ML"",,60,12,24.95,08/01/2020"
"""1450B"",,""MIDLETON BARRY CROCKETT LEGACY IRISH WHK"",""750 ML"",,92,3,259.95,08/01/2020"
"""1460B"",,""JOHN J BOWMAN VIRGINIA STRAIGHT BOURBON"",""750 ML"",,100,6,49.95,08/01/2020"
"""1463B"",,""THE IRISHMAN FOUNDERS RESERVE"",""750 ML"",,80,6,27.95,08/01/2020"
"""1464B"",,""LEXINGTON BOURBON"",""750 ML"",,86,6,36.95,08/01/2020"
"""1465B"",,""BASTILLE HANDCRAFTED WHISKY"",""750 ML"",,80,6,26.95,08/01/2020"
"""1468B"",,""WESTWARD AMERICAN SINGLE MALT WHISKEY"",""750 ML"",,90,6,69.95,08/01/2020"
"""1468E"",""@"",""WESTWARD AMERICAN SINGLE MALT WHISKEY"",""375 ML"",,90,12,49.95,08/01/2020"
"""1470B"",,""UNION GIN"",""750 ML"",,88,12,21.95,08/01/2020"
"""1470F"",,""UNION GIN"",""50 ML"",,88,49,4.00,08/01/2020"
"""1482B"",,""KINKY PINK LIQUEUR (VODKA BASE)"",""750 ML"",,34,6,16.95,08/01/2020"
"""1492B"",,""PACIFIC NORTHWEST WILD CARD ABSINTHE"",""750 ML"",,125,12,30.00,08/01/2020"
"""1492F"",,""PACIFIC NORTHWEST WILD CARD ABSINTHE"",""50 ML"",,125,60,3.00,08/01/2020"
"""1497B"",""$"",""PINNACLE WHIPPED HOLIDAY VAP"",""750 ML"",,70,6,9.95,08/01/2020"
"""1498B"",,""NEW AMSTERDAM PEACH VODKA"",""750 ML"",,70,12,9.95,08/01/2020"
"""1498E"",""@"",""NEW AMSTERDAM PEACH VODKA"",""375 ML"",,70,24,6.95,08/01/2020"
"""1498H"",,""NEW AMSTERDAM PEACH VODKA"",""1.75 L"",,70,6,23.95,08/01/2020"
"""1499B"",,""NEW AMSTERDAM RED BERRY VODKA"",""750 ML"",,70,12,9.95,08/01/2020"
"""1499H"",,""NEW AMSTERDAM RED BERRY VODKA"",""1.75 L"",,70,6,23.95,08/01/2020"
"""1513B"",,""PINNACLE BLACKBERRY FLAVORED VODKA"",""750 ML"",,70,12,9.95,08/01/2020"
"""1516B"",,""AMARO DI MONTENEGRO"",""750 ML"",,46,6,38.00,08/01/2020"
"""1517B"",,""CRATER LAKE SWEET GINGER VODKA"",""750 ML"",,70,12,24.95,08/01/2020"
"""1517E"",""@"",""CRATER LAKE SWEET GINGER VODKA"",""375 ML"",,70,12,12.95,08/01/2020"
"""1517F"",""@"",""CRATER LAKE SWEET GINGER VODKA"",""50 ML"",,70,96,2.00,08/01/2020"
"""1521B"",,""BANK NOTE BLENDED SCOTCH (AD RATTRAY)"",""750 ML"",,86,12,27.95,08/01/2020"
"""1533B"",""@"",""RUSSIAN STANDARD GOLD VODKA"",""750 ML"",,80,12,18.95,08/01/2020"
"""1545B"",,""MIDNIGHT MOON BLACKBERRY"",""750 ML"",,100,6,24.95,08/01/2020"
"""1559B"",,""MONTELOBOS MEZCAL TEQUILA WHITE"",""750 ML"",,80,6,39.95,08/01/2020"
"""1562B"",,""W.L. WELLER 12YR KENTUCKY STRAIGHT BRBN"",""750 ML"",""12 YRS"",90,12,39.95,08/01/2020"
"""1573B"",,""HORNITOS LIME SHOT TEQUILA (WHITE)"",""750 ML"",,70,12,29.95,08/01/2020"
"""1583B"",""@"",""BULL RUN REGNIG DAG AQUAVIT"",""750 ML"",,80,12,24.95,08/01/2020"
"""1583E"",,""BULL RUN REGNIG DAG AQUAVIT"",""375 ML"",,80,12,30.00,08/01/2020"
"""1599B"",,""SKYY INFUSIONS WILD STRAWBERRY FLVRD VOD"",""750 ML"",,70,12,19.95,08/01/2020"
"""1600B"",,""WILD TURKEY RUSS RES. S/B"",""750 ML"",,110,6,57.95,08/01/2020"
"""1604B"",,""BIRD DOG HOT CINNAMON FLAVORED WHISKEY"",""750 ML"",,80,6,15.95,08/01/2020"
"""1609B"",""@"",""STONE BARN NOCINO"",""750 ML"",,60,12,40.00,08/01/2020"
"""1609E"",""@"",""STONE BARN NOCINO"",""375 ML"",,60,12,25.00,08/01/2020"
"""1615B"",,""BIRD DOG PEACH FLAV WHISKEY"",""750 ML"",,80,6,19.95,08/01/2020"
"""1630B"",,""BULLEIT 10 YEAR KENTUCKY STRAIGHT BOURBN"",""750 ML"",""10 YRS"",91,12,39.95,08/01/2020"
"""1633B"",,""YUKON JACK JACAPPLE"",""750 ML"",,70,12,16.95,08/01/2020"
"""1634B"",,""YUKON JACK WICKED HOT"",""750 ML"",,70,12,16.95,08/01/2020"
"""1635B"",,""GEORGE DICKEL RYE WHISKY"",""750 ML"",,90,12,21.95,08/01/2020"
"""1637B"",,""SMIRNOFF SORBET LT RASB POMEGRANATE"",""750 ML"",,60,12,13.95,08/01/2020"
"""1641B"",,""SMIRNOFF ROOT BEER FLOAT"",""750 ML"",,60,12,13.95,08/01/2020"
"""1657B"",,""HOCHSTADTER'S SLOW AND LOW"",""750 ML"",,84,6,24.95,08/01/2020"
"""1662B"",,""THREE OLIVES STRAWBERRY"",""750 ML"",,70,12,17.95,08/01/2020"
"""1663B"",,""IRIS LIQUEUR (RICETTA ORIGINALE)"",""750 ML"",,70,12,39.95,08/01/2020"
"""1664B"",,""SPARKLE DONKEY TEQUILA REPOSADO"",""750 ML"",,80,6,33.95,08/01/2020"
"""1665B"",,""SPARKLE DONKEY TEQUILA SILVER"",""750 ML"",,80,6,31.95,08/01/2020"
"""1669B"",""@"",""PLANTATION 3 STAR JAMAICA/BARBADOS/TRNDD"",""750 ML"",,82,12,17.95,08/01/2020"
"""1671B"",,""ROGUE CHIPOTLE SPIRIT"",""750 ML"",,80,12,40.25,08/01/2020"
"""1672B"",,""JAMES E PEPPER 1776 RYE"",""750 ML"",,100,6,34.95,08/01/2020"
"""1675B"",,""VERY OLD BARTON 4 YEAR 80 PROOF"",""750 ML"",""4 YRS"",80,12,13.95,08/01/2020"
"""1687B"",""@"",""MELETTI AMARO LIQUEUR (ITALY)"",""750 ML"",,64,12,26.95,08/01/2020"
"""1696B"",,""ELIJAH CRAIG BARREL PROOF"",""750 ML"",""12 YRS"",90,6,59.95,08/01/2020"
"""1704B"",,""REDEMPTION RYE WHISKEY"",""750 ML"",,92,12,28.95,08/01/2020"
"""1706H"",,""1800 ULTIMATE PINEAPPLE MARGARITA R-T-D"",""1.75 L"",,20,6,20.95,08/01/2020"
