PROD #,RETAIL UPC,BRAND,TYPE,Supplier,Package,,,START,END,QUANTITY,REG.,DISC.,PROM.,UNIT,TYPE,COMMENTS
,,,,,Packs,Units,oz,DATE,DATE,,PRICE,,PRICE,COST,,
2818,087692000174,Angry Orchard Fall Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
2825,087692001492,Angry Orchard Green Apple,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
2828,087692001508,Angry Orchard Green Apple,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
2826,087692002550,Angry Orchard Hop'n Mad Apple,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
2823,087692000174,Angry Orchard Spring Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
2827,087692000792,Angry Orchard Summer Honey,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1148,887151003025,Coney Island Ginger Ale,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,12/31/2016,1,$35.16,$3.18,$31.98,$7.9950,Original,
1126,887151002134,Coney Island Hard Root Beer,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,12/31/2016,1,$35.16,$3.18,$31.98,$7.9950,Original,
1149,887151003124,Coney Island Orange Cream Ale,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,12/31/2016,1,$35.16,$3.18,$31.98,$7.9950,Original,
1028,087692000044,Sam Adams 20 Pounds Of Pumpkin,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1005,087692100126,Sam Adams Boston Lager,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1006,087692100140,Sam Adams Boston Lager,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1008,087692001058,Sam Adams Boston Lager,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1010,087692001027,Sam Adams Brewmaster Hop Tour,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1062,087692271024,Sam Adams Cherry Wheat,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1047,087692003540,Sam Adams Coffee Stout,Can,Boston Beer Co Inc,6,4,15,11/27/2016,12/31/2016,1,$52.74,$4.74,$48.00,$8.0000,Original,
1047,087692003540,Sam Adams Coffee Stout,Can,Boston Beer Co Inc,6,4,15,10/2/2016,11/26/2016,1,$52.74,$9.59,$43.15,$7.1917,Original,
1055,087692300502,Sam Adams Cold Snap,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1056,087692011033,Sam Adams Cold Snap,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1046,087692001096,Sam Adams Cold Snap,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1087,087692000044,Sam Adams Crystal Pale Ale,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1076,087692002666,Sam Adams Downtime Pilsner,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1037,087692000044,Sam Adams Escape Route,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1038,087692291039,Sam Adams Fall Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1052,087692003564,Sam Adams Nitro IPA,Can,Boston Beer Co Inc,6,4,15,11/27/2016,12/31/2016,1,$52.74,$4.74,$48.00,$8.0000,Original,
1052,087692003564,Sam Adams Nitro IPA,Can,Boston Beer Co Inc,6,4,15,10/2/2016,11/26/2016,1,$52.74,$9.59,$43.15,$7.1917,Original,
1051,087692003519,Sam Adams Nitro White Ale,Can,Boston Beer Co Inc,6,4,15,11/27/2016,12/31/2016,1,$52.74,$4.74,$48.00,$8.0000,Original,
1051,087692003519,Sam Adams Nitro White Ale,Can,Boston Beer Co Inc,6,4,15,10/2/2016,11/26/2016,1,$52.74,$9.59,$43.15,$7.1917,Original,
1040,087692300502,Sam Adams Octoberfest,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1041,087692011033,Sam Adams Octoberfest,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1043,087692001096,Sam Adams Octoberfest,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1085,087692003007,Sam Adams Pack Of Rebels,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1044,087692000044,Sam Adams Porch Rocker,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1034,087692003434,Sam Adams Rebel Grapefruit IPA,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1023,087692001270,Sam Adams Rebel IPA,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1024,087692001294,Sam Adams Rebel IPA,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1073,087692001744,Sam Adams Rebel IPA,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1072,087692002932,Sam Adams Rebel Rider Session IPA,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1057,087692291039,Sam Adams Spring Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1020,087692300502,Sam Adams Summer Ale,Bottle,Boston Beer Co Inc,4,6,12,10/2/2016,11/26/2016,1,$31.98,$1.66,$30.32,$7.5800,Original,
1021,087692011033,Sam Adams Summer Ale,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1035,087692001096,Sam Adams Summer Ale,Can,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
1025,087692291039,Sam Adams Summer Variety,Bottle,Boston Beer Co Inc,2,12,12,11/13/2016,12/31/2016,1,$30.38,$3.20,$27.18,$13.5900,Original,
