ItemName,Warehouse,CaseUPC,PackUPC,RetailUPC,UnitUPC,ItemKey,
10 YELLOW TAIL RES PINOT GRIG 750ML,All warehouses,,, 03125901236 0, 03125901236 0,2339,                              
11 BOUCHAINE PINOT NOIR 750ML,All warehouses,,,0 89569 22912 1,0 89569 22912 1,842,                                   
11 BURGESS CABERNET 1.5ML,All warehouses,,,0000000000000,0000000000000,566,                                           
11 BURGESS NAPA CABERNET REST,All warehouses,,,,,549,                                                                 
11 BURGESS NAPA SYRAH 750ML,All warehouses,,,08121800345 8,08121800345 8,542,                                         
11 CERETTO BAROLO DOCG 750ML,All warehouses,,, 08175355022 6, 08175355022 6,3317,                                     
11 CERETTO ROSSO MONSORDO 6PK,All warehouses,,, 18175355029 2, 18175355029 2,3306,                                    
11 CLOS PEGASE PINOT NOIR 750ML,All warehouses,,, 03322885811 5, 03322885811 5,384,                                   
11 COPPOLA ELEANOR RED WINE,All warehouses,,,,0000000000000,612,                                                      
11 COUSINO MACUL ANTIG CABERNET 750ML,All warehouses,,, 08904666663 0, 08904666663 0,3590,                            
11 COUSINO MACUL FINIS 750ML,All warehouses,,, 08904666669 2, 08904666669 2,3615,                                     
11 DOW'S RES BOMFIM 6PK,All warehouses,,,,0000000000000,4012,                                                         
11 ELK COVE ROOSEVELT PINOT NOIR 6PK 750ML,All warehouses,,,,,3470,                                                   
11 FERRARI TRESOR 3PK,All warehouses,,,,,1238,                                                                        
11 HDV CHARDONNAY,All warehouses,,,0000000000000,0000000000000,780,                                                   
11 INGLENOOK  RUBICON 12 PK 375ML,All warehouses,,,,,188,                                                             
11 J LOHR FOGS REACH PINOT NOIR 6PK 750ML,All warehouses,,, 08912119852 0, 08912119852 0,357,                         
"11 J LOHR ""PAU"" CUVEE 6PK 750ML",All warehouses,,, 08912137852 6, 08912137852 6,347,                               
11 J LOHR POM CUVEE 6PK 750ML,All warehouses,,, 08912136852 7, 08912136852 7,342,                                     
"11 J LOHR ""ST E"" CUVEE 6PK 750ML",All warehouses,,, 08912138852 5, 08912138852 5,343,                              
11 LURTON COUHINS RED,All warehouses,,,7 21298 69051 2,7 21298 69051 2,5006,                                          
11 LURTON DAUZAC MARGAUX 750ML,All warehouses,,,7 21298 74091 0,7 21298 74091 0,4462,                                 
11 LURTON ROCHERMORIN RED PESSAC  750ML,All warehouses,,,7 21298 64021 0,7 21298 64021 0,5011,                        
11 MARIETTA ANGELI CUVEE 750ML,All warehouses,,,7 46751 91199 7,7 46751 91199 7,434,                                  
